k_cat_AA,k_a_NH4,k_NH4,k_a_AA,k_NH4_AA,k_ribo_a
1000,0.1,10,10,10,0.1
1000,0.1,10,10,10,10
1000,0.1,10,10,10,1000
1000,0.1,10,10,1000,0.1
1000,0.1,10,10,1000,10
1000,0.1,10,10,1000,1000
1000,0.1,10,1000,0.1,0.1
1000,0.1,10,1000,0.1,10
1000,0.1,10,1000,0.1,1000
1000,0.1,10,1000,10,0.1
1000,0.1,10,1000,10,10
1000,0.1,10,1000,10,1000
1000,0.1,10,1000,1000,0.1
1000,0.1,10,1000,1000,10
1000,0.1,10,1000,1000,1000
1000,0.1,1000,0.1,0.1,0.1
1000,0.1,1000,0.1,0.1,10
1000,0.1,1000,0.1,0.1,1000
1000,0.1,1000,0.1,10,0.1
1000,0.1,1000,0.1,10,10
1000,0.1,1000,0.1,10,1000
1000,0.1,1000,0.1,1000,0.1
1000,0.1,1000,0.1,1000,10
1000,0.1,1000,0.1,1000,1000
1000,0.1,1000,10,0.1,0.1
1000,0.1,1000,10,0.1,10
1000,0.1,1000,10,0.1,1000
1000,0.1,1000,10,10,0.1
1000,0.1,1000,10,10,10
1000,0.1,1000,10,10,1000
1000,0.1,1000,10,1000,0.1
1000,0.1,1000,10,1000,10
1000,0.1,1000,10,1000,1000
1000,0.1,1000,1000,0.1,0.1
1000,0.1,1000,1000,0.1,10
1000,0.1,1000,1000,0.1,1000
1000,0.1,1000,1000,10,0.1
1000,0.1,1000,1000,10,10
1000,0.1,1000,1000,10,1000
1000,0.1,1000,1000,1000,0.1
1000,0.1,1000,1000,1000,10
1000,0.1,1000,1000,1000,1000
1000,10,10,0.1,1000,0.1
1000,10,10,0.1,1000,10
1000,10,10,0.1,1000,1000
1000,10,10,10,1000,0.1
1000,10,10,10,1000,10
1000,10,10,10,1000,1000
1000,10,10,1000,1000,0.1
1000,10,10,1000,1000,10
1000,10,10,1000,1000,1000
1000,10,1000,0.1,10,0.1
1000,10,1000,0.1,10,10
1000,10,1000,0.1,10,1000
1000,10,1000,0.1,1000,0.1
1000,10,1000,0.1,1000,10
1000,10,1000,0.1,1000,1000
1000,10,1000,10,10,0.1
1000,10,1000,10,10,10
1000,10,1000,10,10,1000
1000,10,1000,10,1000,0.1
1000,10,1000,10,1000,10
1000,10,1000,10,1000,1000
1000,10,1000,1000,10,0.1
1000,10,1000,1000,10,10
1000,10,1000,1000,10,1000
1000,10,1000,1000,1000,0.1
1000,10,1000,1000,1000,10
1000,10,1000,1000,1000,1000
1000,1000,1000,10,1000,0.1
1000,1000,1000,10,1000,10
1000,1000,1000,10,1000,1000
1000,1000,1000,1000,1000,0.1
1000,1000,1000,1000,1000,10
1000,1000,1000,1000,1000,1000
0.1,0.1,0.1,0.1,1000,0.1
0.1,0.1,0.1,0.1,1000,10
0.1,0.1,0.1,0.1,1000,1000
0.1,0.1,0.1,10,1000,0.1
0.1,0.1,0.1,10,1000,10
0.1,0.1,0.1,10,1000,1000
0.1,0.1,0.1,1000,1000,0.1
0.1,0.1,0.1,1000,1000,10
0.1,0.1,0.1,1000,1000,1000
0.1,0.1,10,0.1,10,0.1
0.1,0.1,10,0.1,10,10
0.1,0.1,10,0.1,10,1000
0.1,0.1,10,10,10,0.1
0.1,0.1,10,10,10,10
0.1,0.1,10,10,10,1000
0.1,0.1,10,1000,10,0.1
0.1,0.1,10,1000,10,10
0.1,0.1,10,1000,10,1000
0.1,0.1,1000,0.1,0.1,0.1
0.1,0.1,1000,0.1,0.1,10
0.1,0.1,1000,0.1,0.1,1000
0.1,0.1,1000,10,0.1,0.1
0.1,0.1,1000,10,0.1,10
0.1,0.1,1000,10,0.1,1000
0.1,0.1,1000,10,1000,0.1
0.1,0.1,1000,10,1000,10
0.1,0.1,1000,10,1000,1000
0.1,0.1,1000,1000,0.1,0.1
0.1,0.1,1000,1000,0.1,10
0.1,0.1,1000,1000,0.1,1000
0.1,10,10,10,1000,0.1
0.1,10,10,10,1000,10
0.1,10,10,10,1000,1000
0.1,10,1000,10,10,0.1
0.1,10,1000,10,10,10
0.1,10,1000,10,10,1000
0.1,1000,1000,0.1,1000,0.1
0.1,1000,1000,1000,1000,0.1
0.1,1000,1000,1000,1000,10
0.1,1000,1000,1000,1000,1000
10,10,0.1,0.1,1000,0.1
10,10,0.1,0.1,1000,10
10,10,0.1,0.1,1000,1000
10,10,10,0.1,10,0.1
10,10,10,0.1,10,10
10,10,10,0.1,10,1000
10,10,10,1000,1000,0.1
10,10,10,1000,1000,10
10,10,10,1000,1000,1000
10,10,1000,0.1,0.1,0.1
10,10,1000,0.1,0.1,10
10,10,1000,0.1,0.1,1000
10,10,1000,1000,10,0.1
10,10,1000,1000,10,10
10,10,1000,1000,10,1000
10,1000,10,10,1000,0.1
10,1000,10,10,1000,10
10,1000,10,10,1000,1000
10,1000,1000,10,10,0.1
10,1000,1000,10,10,10
10,1000,1000,10,10,1000
1000,10,0.1,10,1000,0.1
1000,10,0.1,10,1000,10
1000,10,0.1,10,1000,1000
1000,10,0.1,1000,1000,0.1
1000,10,0.1,1000,1000,10
1000,10,0.1,1000,1000,1000
1000,10,10,10,10,0.1
1000,10,10,10,10,10
1000,10,10,10,10,1000
1000,10,10,1000,10,0.1
1000,10,10,1000,10,10
1000,10,10,1000,10,1000
1000,10,1000,10,0.1,0.1
1000,10,1000,10,0.1,10
1000,10,1000,10,0.1,1000
1000,10,1000,1000,0.1,0.1
1000,10,1000,1000,0.1,10
1000,10,1000,1000,0.1,1000
1000,1000,0.1,0.1,1000,0.1
1000,1000,0.1,0.1,1000,10
1000,1000,0.1,0.1,1000,1000
1000,1000,10,0.1,10,0.1
1000,1000,10,0.1,10,10
1000,1000,10,0.1,10,1000
1000,1000,10,1000,1000,0.1
1000,1000,10,1000,1000,10
1000,1000,10,1000,1000,1000
1000,1000,1000,0.1,0.1,0.1
1000,1000,1000,0.1,0.1,10
1000,1000,1000,0.1,0.1,1000
1000,1000,1000,1000,10,0.1
1000,1000,1000,1000,10,10
1000,1000,1000,1000,10,1000
